NAME,ref_G,ref_FGA,ref_FTA,ref_PF,ref_PTS,ref_FGA_pgrel,ref_FTA_pgrel,ref_PF_pgrel,ref_PTS_pgrel,ref_home_win_loss,ref_home_FGA,ref_home_FTA,ref_home_PF,ref_home_PTS,ref_away_win_loss,ref_away_FGA,ref_away_FTA,ref_away_PF,ref_away_PTS,ref_win_loss_hvrel,ref_FGA_hvrel,ref_FTA_hvrel,ref_PF_hvrel,ref_PTS_hvrel
Ed Clarke,2,161,48,39,189,0.6,-4.8,-7.1,-10,1,81,24,18.5,97.5,0,80,24,20.5,91.5,0.794,0.3,-1.3,-1.2,2.8
Keith Cooper,10,161.6,53.7,46.6,198.2,1.2,0.9,0.5,-0.8,0.7,80.9,26.3,23.1,101.9,0.3,80.7,27.4,23.5,96.3,0.194,-0.5,-2.4,0.4,2.4
Mike Crumb,1,161,62,46,190,0.6,9.2,-0.1,-9,1,79,35,23,107,0,82,27,23,83,0.794,-3.7,6.7,0.8,20.8
Tom Drakeford,11,154,65.5,51.8,204,-6.4,12.7,5.7,5,0.727,76.1,36.3,24.6,103.9,0.273,77.9,29.3,27.2,100.1,0.249,-2.5,5.7,-1.7,0.6
Kevin Fehr,1022,161.366047,48.40019569,42.60636008,192.708317,0.166242661,-1.368590998,-0.733170254,-1.63072407,0.584235812,80.65019569,24.59158513,21.08268102,97.77172211,0.415764188,80.69197652,23.79784736,21.54823875,94.91810176,-0.036407045,-0.304500978,-0.225831703,0.227201566,-0.354794521
John Fullilove,9,167.7,61,50.1,213.7,7.3,8.2,4,14.7,0.667,84.1,32.7,24.6,109.2,0.333,83.6,28.3,25.6,104.4,0.127,-0.1,3,-0.2,1.6
Ed Gaines,7,151.6,58.4,49.7,200.6,-8.8,5.6,3.6,1.6,0.857,76.1,28.9,25.1,103,0.143,75.4,29.6,24.6,97.6,0.508,0,-2,1.4,2.2
Michael Glass,7,145.3,59,50.4,198.1,-15.1,6.2,4.3,-0.9,0.571,74.1,30.7,24,99.9,0.429,71.1,28.3,26.4,98.3,-0.063,2.3,1.1,-1.6,-1.6
Marcel Godfrey,14,156.9,56,48.2,199.2,-3.5,3.2,2.1,0.2,0.357,77,30.6,22.1,98.1,0.643,79.9,25.4,26.1,101.1,-0.492,-3.6,3.8,-3.1,-6.1
Roy Gulbeyan,15,156.6,67.1,54.2,207.9,-3.8,14.3,8.1,8.9,0.6,77.9,36.2,25.9,105.3,0.4,78.7,30.9,28.3,102.7,-0.006,-1.6,4,-1.5,-0.6
John Heatley,16,163.5,60.3,48.9,205.9,3.1,7.5,2.8,6.9,0.75,80.6,31.9,22.4,106.6,0.25,82.9,28.3,26.5,99.3,0.294,-3,2.3,-3.3,4.1
Joe Henderson,4,166,48.8,42.5,204.5,5.6,-4,-3.6,5.5,0.25,89.3,20,22.5,103,0.75,76.8,28.8,20,101.5,-0.706,11.8,-10.1,3.3,-1.7
Darrell Humphrey,18,164.6,53.3,43.6,204.2,4.2,0.5,-2.5,5.2,0.778,82.6,27.8,21.1,105.4,0.222,82,25.4,22.4,98.8,0.35,-0.1,1.1,-0.5,3.4
Anthony Jordan,224,158.45625,50.84776786,44.04196429,191.659375,-1.591071429,0.28125,-0.31875,-0.006696429,0.620375,79.3625,25.64642857,21.84910714,97.36116071,0.379625,79.07232143,25.22723214,22.24508929,94.278125,0.017080357,-0.010714286,-0.711607143,0.388392857,-0.416071429
